h,fd_dJdv,fd_dJda,fd_dJdb,fd_dJdc,ad_dJdv,ad_dJda,ad_dJdb,ad_dJdc
1.000000000000000082e-05,nan,nan,nan,nan,nan,nan,nan,nan
1.266380173467402173e-05,nan,nan,nan,nan,nan,nan,nan,nan
1.603718743751331087e-05,nan,nan,nan,nan,nan,nan,nan,nan
2.030917620904734816e-05,nan,nan,nan,nan,nan,nan,nan,nan
2.571913809059347009e-05,nan,nan,nan,nan,nan,nan,nan,nan
3.257020655659782988e-05,nan,nan,nan,nan,nan,nan,nan,nan
4.124626382901347725e-05,nan,nan,nan,nan,nan,nan,nan,nan
5.223345074266843603e-05,nan,nan,nan,nan,nan,nan,nan,nan
6.614740641230145183e-05,nan,nan,nan,nan,nan,nan,nan,nan
8.376776400682923638e-05,nan,nan,nan,nan,nan,nan,nan,nan
1.060818355139448306e-04,nan,nan,nan,nan,nan,nan,nan,nan
1.343399332598899977e-04,nan,nan,nan,nan,nan,nan,nan,nan
1.701254279852589153e-04,nan,nan,nan,nan,nan,nan,nan,nan
2.154434690031882321e-04,nan,nan,nan,nan,nan,nan,nan,nan
2.728333376486769706e-04,nan,nan,nan,nan,nan,nan,nan,nan
3.455107294592218038e-04,nan,nan,nan,nan,nan,nan,nan,nan
4.375479375074184211e-04,nan,nan,nan,nan,nan,nan,nan,nan
5.541020330009491972e-04,nan,nan,nan,nan,nan,nan,nan,nan
7.017038286703822323e-04,nan,nan,nan,nan,nan,nan,nan,nan
8.886238162743407155e-04,nan,nan,nan,nan,nan,nan,nan,nan
1.125335582600764600e-03,nan,nan,nan,nan,nan,nan,nan,nan
1.425102670302997709e-03,nan,nan,nan,nan,nan,nan,nan,nan
1.804721766827170138e-03,nan,nan,nan,nan,nan,nan,nan,nan
2.285463864134990725e-03,nan,nan,nan,nan,nan,nan,nan,nan
2.894266124716751622e-03,nan,nan,nan,nan,nan,nan,nan,nan
3.665241237079625968e-03,nan,nan,nan,nan,nan,nan,nan,nan
4.641588833612777208e-03,nan,nan,nan,nan,nan,nan,nan,nan
5.878016072274911547e-03,nan,nan,nan,nan,nan,nan,nan,nan
7.443803013251688513e-03,nan,nan,nan,nan,nan,nan,nan,nan
9.426684551178853705e-03,nan,nan,nan,nan,nan,nan,nan,nan
1.193776641714435795e-02,nan,nan,nan,nan,nan,nan,nan,nan
1.511775070615661506e-02,nan,nan,nan,nan,nan,nan,nan,nan
1.914481976169957536e-02,nan,nan,nan,nan,nan,nan,nan,nan
2.424462017082328405e-02,nan,nan,nan,nan,nan,nan,nan,nan
3.070290629757849860e-02,nan,nan,nan,nan,nan,nan,nan,nan
3.888155180308085213e-02,nan,nan,nan,nan,nan,nan,nan,nan
4.923882631706736485e-02,nan,nan,nan,nan,nan,nan,nan,nan
6.235507341273912457e-02,nan,nan,nan,nan,nan,nan,nan,nan
7.896522868499725178e-02,nan,nan,nan,nan,nan,nan,nan,nan
1.000000000000000056e-01,nan,nan,nan,nan,nan,nan,nan,nan
